02:25:13 22/04/2019 | App                  | INFO     | App started 
02:25:13 22/04/2019 | App                  | INFO     | Instantiating models 
02:25:13 22/04/2019 | App                  | INFO     | Instantiating controllers 
02:25:13 22/04/2019 | App                  | INFO     | Instantiating views 
02:25:13 22/04/2019 | App                  | INFO     | Linking controllers to views 
02:25:13 22/04/2019 | App                  | INFO     | Configuring main controller 
02:25:13 22/04/2019 | App                  | INFO     | Loading views 
02:25:13 22/04/2019 | MainView             | INFO     | Adding LoginView to main widget stack 
02:25:14 22/04/2019 | MainController       | INFO     | Requesting view change 
02:25:14 22/04/2019 | MainView             | INFO     | Changing to tabWidget mode 
02:25:14 22/04/2019 | MainView             | INFO     | Changing from homeTab to homeTab 
02:25:14 22/04/2019 | MainController       | INFO     | View change completed 
02:25:14 22/04/2019 | ConnectView          | DEBUG    | Updating status text 
02:25:14 22/04/2019 | DeviceFinder         | DEBUG    | Starting new thread; searching for devices 
02:25:15 22/04/2019 | HomeController       | DEBUG    | Connect button clicked 
02:25:15 22/04/2019 | MainController       | INFO     | Requesting view change 
02:25:15 22/04/2019 | MainView             | INFO     | Changing from homeTab to connectTab 
02:25:15 22/04/2019 | MainController       | INFO     | View change completed 
02:25:25 22/04/2019 | DeviceFinder         | DEBUG    | Found bluetooth device with name: rolph and address: 74:9E:AF:43:7A:89 
02:25:25 22/04/2019 | DeviceFinder         | DEBUG    | Search complete, deleting thread 
02:25:25 22/04/2019 | ConnectView          | DEBUG    | Adding rolph to found devices list 
02:25:26 22/04/2019 | ConnectController    | DEBUG    | Device ['rolph'] selected 
02:25:28 22/04/2019 | ConnectController    | DEBUG    | Attempting to connect to ['rolph'] device 
02:25:28 22/04/2019 | DeviceConnector      | DEBUG    | Starting new thread; connecting with rolph 
02:26:08 22/04/2019 | App                  | INFO     | App started 
02:26:08 22/04/2019 | App                  | INFO     | Instantiating models 
02:26:08 22/04/2019 | App                  | INFO     | Instantiating controllers 
02:26:08 22/04/2019 | App                  | INFO     | Instantiating views 
02:26:08 22/04/2019 | App                  | INFO     | Linking controllers to views 
02:26:08 22/04/2019 | App                  | INFO     | Configuring main controller 
02:26:08 22/04/2019 | App                  | INFO     | Loading views 
02:26:08 22/04/2019 | MainView             | INFO     | Adding LoginView to main widget stack 
02:26:09 22/04/2019 | MainController       | INFO     | Requesting view change 
02:26:09 22/04/2019 | MainView             | INFO     | Changing to tabWidget mode 
02:26:09 22/04/2019 | MainView             | INFO     | Changing from homeTab to homeTab 
02:26:09 22/04/2019 | MainController       | INFO     | View change completed 
02:26:09 22/04/2019 | ConnectView          | DEBUG    | Updating status text 
02:26:09 22/04/2019 | DeviceFinder         | DEBUG    | Starting new thread; searching for devices 
02:26:10 22/04/2019 | HomeController       | DEBUG    | Connect button clicked 
02:26:10 22/04/2019 | MainController       | INFO     | Requesting view change 
02:26:10 22/04/2019 | MainView             | INFO     | Changing from homeTab to connectTab 
02:26:10 22/04/2019 | MainController       | INFO     | View change completed 
02:26:19 22/04/2019 | DeviceFinder         | DEBUG    | Found bluetooth device with name: rolph and address: 74:9E:AF:43:7A:89 
02:26:19 22/04/2019 | DeviceFinder         | DEBUG    | Search complete, deleting thread 
02:26:19 22/04/2019 | ConnectView          | DEBUG    | Adding rolph to found devices list 
02:26:20 22/04/2019 | ConnectController    | DEBUG    | Device ['rolph'] selected 
02:26:21 22/04/2019 | ConnectController    | DEBUG    | Attempting to connect to ['rolph'] device 
02:26:21 22/04/2019 | DeviceConnector      | DEBUG    | Starting new thread; connecting with rolph 
02:26:30 22/04/2019 | App                  | INFO     | App started 
02:26:30 22/04/2019 | App                  | INFO     | Instantiating models 
02:26:30 22/04/2019 | App                  | INFO     | Instantiating controllers 
02:26:30 22/04/2019 | App                  | INFO     | Instantiating views 
02:26:30 22/04/2019 | App                  | INFO     | Linking controllers to views 
02:26:30 22/04/2019 | App                  | INFO     | Configuring main controller 
02:26:30 22/04/2019 | App                  | INFO     | Loading views 
02:26:30 22/04/2019 | MainView             | INFO     | Adding LoginView to main widget stack 
02:26:31 22/04/2019 | MainController       | INFO     | Requesting view change 
